"dispute_id","description","category"
"D001","I got charged twice for the same UPI payment","DUPLICATE_CHARGE"
"D002","My NEFT failed but money is not refunded","FAILED_TRANSACTION"
"D003","Transaction shows failed but money was debited","FAILED_TRANSACTION"
"D004","I did not make this payment. This is fraud.","FRAUD"
"D005","Still waiting for refund after canceled transaction","REFUND_PENDING"
"D006","Duplicate charge for the same merchant within minutes","DUPLICATE_CHARGE"
"D007","UPI transfer failed but account is debited","FAILED_TRANSACTION"
"D008","NEFT credited to wrong beneficiary per my statement","OTHERS"
"D009","Chargeback requested as I don't recognize this card txn","FRAUD"
"D010","Refund pending for a week after failed POS swipe","REFUND_PENDING"
"D011","Got two UPI debit messages for one QR scan","DUPLICATE_CHARGE"
"D012","Payment stuck in pending, not sure if merchant got it","FAILED_TRANSACTION"
"D013","EMI card was charged twice this month","DUPLICATE_CHARGE"
"D014","My NEFT is showing processed but beneficiary says not received","OTHERS"
"D015","Got debited after payment failed on gateway","FAILED_TRANSACTION"
"D016","This transaction looks suspicious. I didn't authorize it","FRAUD"
"D017","Refund for canceled order not received","REFUND_PENDING"
"D018","Duplicate UPI transfer to same VPA, minutes apart","DUPLICATE_CHARGE"
"D019","NEFT failed but amount not reversed yet","FAILED_TRANSACTION"
"D020","Card charged twice at petrol pump","DUPLICATE_CHARGE"
"D021","I did not authorize this transaction. It's a clear case of fraud.","FRAUD"
"D022","My card was stolen, and this fraudulent charge appeared moments later.","FRAUD"
"D023","I don't recognize this merchant at all. Please reverse this fraudulent charge.","FRAUD"
"D024","This is a fraudulent transaction. I was in possession of my card at all times.","FRAUD"
"D025","My account was hacked, and this payment was made without my knowledge.","FRAUD"
"D026","Unauthorized international transaction on my card while I'm in the country.","FRAUD"
"D027","I lost my wallet yesterday, and now I see this charge. It is not mine.","FRAUD"
"D028","This transaction was made after I reported my card as lost and it was blocked.","FRAUD"
"D029","I have never purchased anything from this website, this is a fraudulent payment.","FRAUD"
"D030","This is a fraudulent charge. I want to block my card immediately.","FRAUD"
"D031","Someone used my card details online without my permission.","FRAUD"
"D032","I received an SMS alert for a transaction I did not make.","FRAUD"
"D033","This payment was made in a different country while I am at home.","FRAUD"
"D034","I suspect my card has been cloned. This is not my transaction.","FRAUD"
"D035","I have been a victim of a phishing attack. Please investigate this charge.","FRAUD"
"D036","A fraudulent subscription has been set up using my card without my consent.","FRAUD"
"D037","I never shared my OTP with anyone, yet this fraudulent transaction went through.","FRAUD"
"D038","This looks like a case of identity theft. I did not make this payment.","FRAUD"
"D039","The merchant listed is completely unknown to me. This has to be fraud.","FRAUD"
"D040","I was not even in that city on the date of the transaction. Clear fraud.","FRAUD"
"D041","My card details were compromised from a data breach, leading to this transaction.","FRAUD"
"D042","This is a suspicious transaction from a website I've never visited.","FRAUD"
"D043","I did not receive any product or service for this payment. It is fraud.","FRAUD"
"D044","This is a clear fraud, please initiate an immediate chargeback.","FRAUD"
"D045","My card was used at an ATM 500 miles away from my current location.","FRAUD"
"D046","I have reason to believe my card information was skimmed at a gas station.","FRAUD"
"D047","This charge occurred at 3 AM while I was sleeping.","FRAUD"
"D048","A large sum was transferred from my account without my consent.","FRAUD"
"D049","This is an unauthorized debit from a company I have never dealt with.","FRAUD"
"D050","My new card, which I haven't even activated yet, has been used.","FRAUD"
"D051","I got a call from a scammer, and then this transaction happened.","FRAUD"
"D052","This is a fraudulent withdrawal from my account.","FRAUD"
"D053","The transaction time and location do not match my known whereabouts.","FRAUD"
"D054","This appears to be a fraudulent online gaming purchase I didn't make.","FRAUD"
"D055","I would like to dispute this charge as I believe it's 100% fraud.","FRAUD"
"D056","My card was used for a recurring payment I never signed up for.","FRAUD"
"D057","This is a fraudulent UPI transaction. My phone was stolen an hour ago.","FRAUD"
"D058","I have been scammed by a fake website that looked like the real one.","FRAUD"
"D059","This transaction was declined but a charge still appeared. It feels like fraud.","FRAUD"
"D060","I didn't authorize this payment to a foreign account.","FRAUD"
"D061","An unauthorized charge from a merchant I blocked last month.","FRAUD"
"D062","I clicked on a suspicious link and now I see this charge. I've been hacked.","FRAUD"
"D063","This payment was for a 'free trial' that I never agreed to. Total scam.","FRAUD"
"D064","I am reporting this transaction as fraudulent. Please take necessary action.","FRAUD"
"D065","My card was used for a cash advance I did not perform.","FRAUD"
"D066","I have video proof I was elsewhere when this transaction occurred.","FRAUD"
"D067","This transaction is from a company that has been reported for scamming.","FRAUD"
"D068","My phone was compromised and this UPI payment was made remotely.","FRAUD"
"D069","The amount is for a service I explicitly canceled. Taking money is fraud.","FRAUD"
"D070","This transaction has all the signs of being fraudulent.","FRAUD"
"D071","Received a fake OTP request and then this debit happened.","FRAUD"
"D072","I've never heard of this 'online store'. It's a fraudulent charge.","FRAUD"
"D073","My card was used for a large purchase immediately after a small test transaction.","FRAUD"
"D074","I am reporting this unauthorized debit. I did not make this purchase.","FRAUD"
"D075","This charge is from a different timezone and country. Not mine.","FRAUD"
"D076","The merchant name looks suspicious and I can't find them online.","FRAUD"
"D077","This is a fraudulent renewal for a subscription I cancelled years ago.","FRAUD"
"D078","My physical card is with me, but it was somehow used at a POS terminal.","FRAUD"
"D079","This is not my purchase. Someone has my card details.","FRAUD"
"D080","A payment was made from my account that I certainly did not approve.","FRAUD"
"D081","Reporting a fraudulent debit. I was not online at the time of this transaction.","FRAUD"
"D082","This charge from an unknown entity needs to be investigated as fraud.","FRAUD"
"D083","My account details were stolen and used for this transaction.","FRAUD"
"D084","This is an obvious fraud. The charge is from a city I have never been to.","FRAUD"
"D085","An unauthorized payment was made while my phone was switched off.","FRAUD"
"D086","I want to report this transaction as fraudulent and get a new card issued.","FRAUD"
"D087","I believe I was a victim of a SIM swap fraud, leading to this UPI transaction.","FRAUD"
"D088","This company is a scam. I did not authorize this payment.","FRAUD"
"D089","My card was charged for an order I never placed.","FRAUD"
"D090","This is a fraudulent transaction; the delivery address is not mine.","FRAUD"
"D091","I don't recall making this purchase on this date. Can you check?","FRAUD"
"D092","This charge seems familiar, but the amount is much higher than I remember.","FRAUD"
"D093","My spouse says they didn't make this payment either. We don't know what it's for.","FRAUD"
"D094","I thought I canceled this subscription. Why am I still being charged?","FRAUD"
"D095","I'm not sure what this charge is for. The merchant name is very generic.","FRAUD"
"D096","Can you provide more details on this transaction? I don't recognize it.","FRAUD"
"D097","I bought something from this site before, but I haven't used it in months.","FRAUD"
"D098","The amount is small, but I am certain I did not authorize this.","FRAUD"
"D099","This might be a mistake. I don't remember spending this much at this store.","FRAUD"
"D100","Is this a recurring payment? I only signed up for a one-time service.","FRAUD"
"D101","This purchase was for a digital good that was never delivered. Feels like a scam.","FRAUD"
"D102","I was browsing this website but I never completed the checkout process.","FRAUD"
"D103","My child might have used my card without permission for an in-game purchase.","FRAUD"
"D104","The company charged me for a premium service I never subscribed to.","FRAUD"
"D105","I'm looking at my statement and this particular charge doesn't add up.","FRAUD"
"D106","This merchant has a very bad reputation online, and I regret making a purchase.","FRAUD"
"D107","I received an item that is completely different from the description. It's a fake.","FRAUD"
"D108","The transaction details are vague. Can you tell me what 'SERV*DigitalOcean' is?","FRAUD"
"D109","I'm disputing this charge. I tried contacting the merchant with no response.","FRAUD"
"D110","This charge is from a company I've never heard of, for a service I don't use.","FRAUD"
"D111","The website I bought from is now offline. I think I've been scammed.","FRAUD"
"D112","This looks like an automatic renewal I was not notified about and did not want.","FRAUD"
"D113","I'm concerned about this transaction. It doesn't seem legitimate.","FRAUD"
"D114","I made one purchase, but it looks like I was signed up for a monthly fee.","FRAUD"
"D115","There is a transaction on my card from a vendor I do not know.","FRAUD"
"D116","I'm pretty sure I cancelled my free trial before the billing date.","FRAUD"
"D117","The location for this POS transaction is incorrect. I was at a different branch.","FRAUD"
"D118","I tried to pay, it said 'failed', but my card was charged anyway. Now the site is gone.","FRAUD"
